--ramp rate info
Generator, Unit, ramp rate bound
1859, '3', 0.2924756570
1859, '4', 0.5125079970
1399, '1', 0.1330609912
1399, '2', 0.0821771757
1399, '3', 0.1643669591
1399, '4', 0.0969282570
1399, '5', 0.0915755326
1399, '6', 0.0656677025
1399, '7', 0.1050905817
1399, '8', 0.0815252438
1399, '9', 0.1672929610
1399, '10', 0.0836301874
1399, '11', 0.1147797306
1399, '12', 0.0880146575
1399, '13', 0.1230199510
1399, '14', 0.1347809929
1399, '15', 0.1334469041
1399, '16', 0.1150505844
1878, '1', 1.6616523392
1878, '2', 2.2743983763
1652, '1', 3.4068605956
1652, '2', 2.5727680014
1918, '1', 0.5085209253
8593, '2', 0.0609483075
1929, '1', 0.0934108066
1186, '1', 0.2633300904
1542, '1', 1.6383313761
1682, '1', 2.6714043073
2396, '1', 0.0566869333
2396, '2', 0.0298112505
2396, '3', 0.0497441621
2396, '4', 0.0615996220
2396, '5', 0.0248419059
2396, '6', 0.0361164292
2396, '7', 0.0588781276
2022, '1', 1.4764096905
2022, '2', 0.3471273152
303, '1', 5.7479929056
1822, '1', 0.0476080639
1822, '2', 0.0229118201
1822, '3', 0.0341439127
8507, '1', 2.2667325646
7823, '1', 10.3589505471
7823, '2', 7.3766418020
7823, '3', 8.5602525123
1298, '1', 0.7526671275
1481, '1', 1.9534612930
1997, '1', 1.6929450487
1997, '2', 0.4074205783
8082, '1', 2.6960432622
668, '1', 2.6524425011
8569, '1', 1.1214727256
8569, '2', 0.2580264428
1595, '1', 11.2317895707
1595, '2', 7.4304080519
